几天了怎么还没退款,退款预计1-3个工作日原路返回到账，您注意查收,20221206 16:01:39
请问这个是正品吗,是正品的呢,20230301 23:45:22
这个没发货,这边反馈催促下哦,20221124 13:26:14
需要退款,催促退款,20230419 12:01:43
承德能发货吗,这边查看您的这笔订单目前已有物流单号：JD0089444191129,20221121 23:19:44
售前咨询，无法填写地址电商无所属供应商名称：无,建议退出重新登录下,20230405 14:23:52
买的蓝牙充满电不亮,建议更换其他充电线试试,20221215 16:11:46
那个耳机还是不行,确认下耳机的绝缘贴是否撕掉，需要把底部的绝缘贴撕掉,20221215 18:41:48
下单的时候选项选择套餐实物能选套餐三吗，可以备注吗,已下单购买页面为准，不支持修改套餐和备注,20221104 11:15:37
用户表示试用耳机发现有很严重的电流音而且续航不佳已发群催促,已反馈钉钉群，有结果私信或者短信,20230325 23:23:20
运费你有没有包括电商所属供应商名称：武汉怡荨雨商贸有限公司,202303224001028005680760899此订单先进行垫付运费，提供支付宝我们支付运费，顺丰勿寄202303224001028005680624606此订单得寄回工厂后检测是否有电流声，核实是否可报销运费，暂时还不确定，需要核实的认可离线,20230328 18:44:27
我买的物品没有物流信息了,催促,20221128 16:34:54
我货没有物流信息,这边反馈商家核实一下物流是否解决：,20221130 16:14:34
换购商品什么时候发货,核实信息时,20221130 10:59:56
声音日历是什么？,实体的日历,20221111 23:20:21
我那天不小心点了两个订单，其实只想买年会员和耳机的后面不知道怎么的，今天回来看，还支付了一个订单，只是一年期的会员,核实信息用户离线,20221122 19:51:27
你好麻烦帮我看下快递到哪里了电商：,已告知,20230320 19:31:58
你好，我买的东西三天了没有动静。这个需要等待还是怎么办？,物流单号9889726765988可以联系客服电话：11183,20221220 10:46:15
物流三天没更新,不好意思，还辛苦您再耐心等待一下呢，小喜再催促一下呢认可离线,20230315 20:49:32
请问几天能发货,帮您催促一下商家哦是否解决：,20221229 18:17:24
快递物流三天未更新,这边为您再催促一下呢辛苦后续关注一下物流是否更新呢,20230103 22:38:12
大概要多久能到,下单之后一般是48小时内发货哦具体的时效无法保证可以帮您反馈加急发货,20230211 10:54:20
未发货申请退款,已发群,20230220 23:04:08
买的被子什么发货呀,预计下单后48小时内发货哦会尽快的请放心的,20221213 17:13:14
退款,拦截成功退回后处理如拦截失败辛苦拒收,20221215 13:26:58
用户反馈退货已到菜鸟驿站辛苦核实下是否可以退款,反馈商家核实后私信,20230228 17:42:11
爱恩倍薰衣草持久留香促销组合家庭装2L*1桶，我买的货到现在还没到,查询已申请退款，已反馈处理退款事宜,20221110 19:28:56
如果免费能听《蒙曼讲红楼梦》，我何必花199元呢，我不需要《红楼梦》这本书，家里早就有。既然免费能听专家，把钱退了吧,告知用户可以在订单页面申请退款,20221101 23:23:19
订单什么时候发货？,商品名称显示：预计4.30日起陆续发货的哈,20230501 15:32:23
迪士尼透明仓蓝牙耳机LY-311，蓝牙找不到设备,耳机底部的薄膜撕掉,20221218 20:12:54
元耳机套餐没货了，什么时候有货,建议您之后留意商城的更新,20230208 09:28:12
这个是半年卡，是每个月20元的会员吗,这个就是半年的喜马拉雅APP会员呢您的这个20元是开通的自动续费哦不是一个哦,20221206 11:23:28
下单几天了都不发货,受疫情影响可能延缓发货，还请您了解催促下,20221211 22:14:42
商城是什么意思，又不发货，又不退款,用户需要退款，告知处理退款,20221212 22:24:27
（来自商家:东莞皓奇乐文化产业有限公司）催促发货辛苦尽快安排,催促，用户离线是否解决：,20230131 13:17:42
现在都疫情防控都不管了怎么邮寄不了？,可能目前在恢复期是这个情况的,20221212 21:06:48
天了还没发货,好哒这边尽快催促发出哦是否解决：,20221208 21:44:35
退款,退款预计1-3个工作日原路返回到账，您注意查收。,20230120 12:02:58
退款，，关键能力:儿童专注力训练手记,核实是否是这个订单，这个订单已处理退款,20230127 22:44:18
是不是现在暂停发货,受全国春运及疫情的影响，商城中的商品将在春节期间（1月10日-1月30日）暂停发货，从1月30日起恢复正常，陆续开始发货~,20230121 08:19:31
为什么商城里的东西不能买,截图下的,20230121 08:10:36
未发货,发群询问,20221221 19:10:42
购买实物长时间未有发货催促,催促供应商,20230312 23:00:38
我购买的无线蓝牙耳机无法开机，我刚刚回来充电显示蓝色的灯，之前是红色的灯电商,反馈商家,20230401 20:07:52
早上充电我听了不到2小时就开不了机了电商所属供应商名称：（来自商家:武汉怡荨雨商贸有限公司）,辛苦您尝试更换一个充电线/充电头重试连接电源看看是否可以恢复使用呢~,20230401 20:07:45
申请退款,辛苦您在我的--全部服务--订单页面申请下退款的哦,20230424 15:41:58
界面KN95立体口罩独立包装50片装，，用户催促物流长时间不更新，辛苦核实下订单情况处理,催促核实，用户离线是否解决：,20221221 14:37:18
界面KN95立体口罩独立包装50片装，，我的物流怎么没动,这边反馈商家核实下，辛苦您后期关注下物流更新情况的,20221218 21:31:23
我的快递到哪了，，,物流异常，已反馈商家核实催促,20221231 11:46:25
快递啥时候到,物流单号433025721998480发送物流截图,20230131 20:03:09
未发货退款,催促退款,20221214 11:10:49
我昨天买的东西在待收货看不到呢？昨天下单三件，现在只能看到两见,这边反馈催促下哦,20221206 11:22:33
我拍的手表什么时候发货,实物商品将在付款后48小时左右发货，受疫情影响，可能存在延缓发货/配送、商品无货的情况，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，给您带来的不便敬请谅解，感谢您的理解!,20221123 12:13:52
那个十八籽灵隐手串是真的开过光的吗？电商所属供应商名称：深圳市万物生供应链有限公司,核实私信,20230327 19:43:36
炊大皇不粘锅二件套这个可以用在电磁炉上?,核实私信,20221027 16:05:15
漫步者耳机是正品吗,亲亲官方商城的商品是正品的哦,20230421 13:20:11
你好，有笔退款到现在还没退已经过了审核时间,为您反馈尽快处理退款哦,20221125 11:44:13
开关坏了,辛苦录制下您完整操作视频这边记录为您反馈厂家核实下处理，离线,20230218 22:46:38
之前定了书但是只收到一套,核实有赞订单，喜马app-我的-全部服务-订单-右上角-点进去右上角【有赞订单】进入联系下有赞客服为您核实下您的这笔订单处理呢，已在线告知未私信,20221222 11:08:53
帮我回到上次的对话,核实之前记录查看用户咨询商品物流相关信息核实用户订单显示用户已申请退款物流显示已拒收咨询用户具体诉求用户未告知已告知用户如果已拒收仓库收到退回商品后会处理退款的用户未回复手动离线,20230220 18:43:11
喜马拉雅和Keep联合这个168块钱的，喜马拉雅是年卡会员吗,里面有一张喜马拉雅年卡,20230115 21:21:25
您好，这个订单麻烦帮我取消吧,记录您的问题为您反馈取消订单哦,20221113 08:18:52
电商申请退款需要修改收件地址,告知操作步骤和须知,20230405 08:20:15
我耳机有一个蓝牙连接不上，无法使用，咋弄？,核实信息用户,20221126 12:45:06
退款,退款预计1-3个工作日原路返回到账，您注意查收。,20221224 11:55:21
重新发一下，货物可以直接放在小区里的快递柜里。,申请补发,20221205 20:37:56
货物送到哪儿了,反馈核实私信，用户离线,20221205 21:46:02
午休睡眠套装武汉可以发货吗？,这个需要辛苦具体以下单为准哦如下单之后72小时未发货辛苦可以联系客服核实下情况呢,20221128 18:32:25
货物在哪里？,发送物流单号和物流截图,20221206 19:01:13
武汉江汉区可以发货吗？,是什么商品呢,20221128 18:37:03
我不是把车单取消了吗？为什么我的物流信息上还是显示撤单成功？我想问一下货物到哪儿了？还有多久才能到达？,2022-12-0702:07:42到达【武汉陆运包件车间】物流单号：9889644894849运输中是否解决：,20221208 20:43:56
我已经申请退货了而且还成功了。货物也已经退回去了但是为什么我的钱还没有转到,这边尽快反馈商家跟物流核实一下情况如果有回复这边给您发短信告知的呢是否解决：,20230107 20:02:22
为什么昨天开【买1得3】喜马拉雅会员年卡+京东Plus会员年卡+喜马拉雅2023声音日历的会员，发票开不了,您下单是申请过的话~在确认收货后三至五个工作日会为您开具的~,20221228 11:52:08
上周5号反应的问题，这都过去4天了，怎么还没有解决,催促下处理,20221109 11:24:03
我的东西退回去了，钱也不退，打电话也联系不上，发微信也不回，，康尔馨-希尔顿古斯特洗浴套装，，运费8元，@sina.cn黄霞,已反馈商家,20221105 18:04:49
取消退款,为用户申请补偿一年体验会员,20230215 12:53:15
我蓝牙耳机什么时候寄过来,这边为您催促一下呢,20230217 15:03:11
一直没收到,催促发出,20221108 10:12:47
需要退款,处理退款,20221109 16:19:28
退款,退款预计1-3个工作日原路返回到账，您注意查收。,20221129 13:20:37
订单什么时候发货,产品缺货，预计要2月中旬到货的呢,20230131 19:04:58
咨询发货时间,本告知反馈商家核实，后核实到用户有再次进线客服告知产品缺货，预计要2月中旬到货的呢故未重复反馈,20230131 20:13:01
退款,反馈拦截物流，拦截成功退回处理,20230107 13:06:37
我买的漫步者x3左耳突然充不进去电了放充电仓里一会就显示充满那出来就用俩分钟就没电了循环往复右耳的就没事,好呢这边反馈商家核实一下哦,20230418 20:10:21
物流什么时候发货？,这边为您反馈催促下哦,20230225 10:36:00
用户反馈商品没有收到，物流显示撤单，现在要退款，辛苦核实下是否可以退款,反馈厂家,20230115 16:10:08
申请退款电商,这边为您反馈商家核实下呢辛苦麻烦您后续关注下私信或者短信呢亲亲,20230406 20:33:25
麻烦让她们再发一下吧,发群,20230131 20:23:02
购买的商品不是音频的吗？,查看是实体书,20221122 11:23:49
限时活动说买一本书送一套绘本，是跟一起发货的吗,正常是一起发货的，如您收到快递没有可以及时咨询下客服哦~,20230422 18:01:51
喜马声音日历有什么用？,扫描日历上方二维码可以收听对应的日历上的声音,20221209 16:20:37
这款产品是三无产品，口罩事关健康，是非常严肃的问题，希望一定尽快处理一下，谢谢！,21:30会话手动关闭,20230311 00:38:02
物流卡着一直没动静,发群,20230228 17:09:07
商家:西西里科技发展（武汉）有限公司。物流没有信息，现在要退款，辛苦核实处理下,反馈,20230107 17:19:19
一直未收到货，物流也没有信息，打了快递电话说未揽件，未发货,核实有客服工单跟进中未有回复告知耐心等待后续私信回复,20230108 12:07:41
一直等待揽件，交易居然显示完成了？！还不好申请退款这个商城是属于喜马拉雅的吗？,已有客服核实建议耐心等待1-3工作日内回复,20230109 19:48:38
这个订单包括哪些会员和产品,这笔订单是1年的喜马拉雅会员和喜马拉雅2023年的声音日历哦,20221103 11:39:28
用户催促这笔订单物流一直没有信息，辛苦处理，（来自商家:鸣奇科技（广州）有限公司）,催促，用户离线是否解决：,20230214 13:52:24
三天没动静了。电商所属供应商名称：北京网聚迪信优品互联网科技有限公司,最新2023年3月22日下午10:17:10【东莞市】快件离开【虎门中心】已发往【呼和浩特中转】,20230324 16:28:42
物流催促,已发群,20230304 22:35:02
是正品吗？有礼物包装盒吗？,可以的呢这边尽快反馈哦是否解决：,20230213 21:10:28
赠送的新年日历是什么内容的,声音日历每页都会有不一样的声音您扫码收听对应的声音内容哦,20221213 11:17:14
医学哲学（第2版/研究生）申请退款,已反馈群,20230304 17:15:29
可以改电话号码吗,202302084001443005476438196查询到这笔订单是已经退款了呢如需修改收件信息可以在下单时页面上方即可修改收件信息呢,20230208 14:49:37
帮我核实仓库了吗,查看之前工作人员有为您核实核实因疫情导致延迟会尽快送达请放心,20221103 12:06:57
退款,辛苦麻烦您后续关注一下退款是否到账呢~,20221109 10:34:59
购买《蒋勋细说红楼梦》赠送《红楼梦》经典版纸质实体书｜磁性嗓音细致解读，这299个是包括书和电子专辑嘛？,是的呢亲亲,20230309 13:16:55
号下的单。到现在都没有物流信息,这边记录反馈核实哦,20230226 15:40:33
怎么不发货，，韩式宽头果酱牙刷6支装,已反馈催促,20221227 08:45:49
我这个订单里，包含喜马拉雅年卡会员吗,包含的呢喜马拉雅年卡&Keep季卡兑换卡是否解决：,20230121 15:50:25
菩提手串108的，开光了吗,可送去佛前开光，目前没开光,20230417 13:16:13
要求退垫付的运费,小喜这边联系商家哦,20230426 10:05:44
韵达快递单号查询：,备注咨询单,20230424 17:33:10
冲吧年小兽！中国年礼盒里面都有什么？,商品页面截图提供下呢,20221221 08:26:33
想要换一个商品，现在疫情，能不能发货了,实物商品将在付款后48小时左右发货，受疫情影响，可能存在延缓发货/配送、商品无货的情况，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，给您带来的不便敬请谅解，感谢您的理解!,20221220 15:50:13
积分特惠】冲吧年小兽！中国年礼盒里面都有什么？,这边反馈商家核实一下是否解决：,20221220 23:08:15
我买的朱利亚尼吉他练习曲，是12月1日交的钱，,这边反馈相关工作人员处理会在1-3个工作日退款成功的呢,20221215 13:11:51
订单商家未发货,已发出物流单号：JDVB19630497289,20221208 13:21:26
这个订单要退货,这边反馈商家核实一下哦是否解决：,20221205 13:52:05
快递费退给我,预计本周五报销，核实是否收到,20230224 22:54:15
商城订单还没发货,催促发出,20230202 18:26:13
在那改收货地址,您可以先点击一个商品,20221106 22:04:32
我有一单货破损，客服说可以仅退款，无需退货，但没发现仅退款链接,这边为您反馈处理退款哦辛苦您后续注意查收哦是否解决：,20230223 09:26:56
我买的台历什么时候发货,这边先为您备注发货，建议您明天订单页查看下物流单号，如还是没发货您这边申请退款即可,20221209 09:15:29
咨询发货进度安徽聚悦电子商务有限公司,发群催促,20230422 13:28:24
、，用户退款辛苦拦截物流，反馈拦截,反馈核实,20221204 19:22:20
用户催促处理，告知已有人员反馈耐心等待核实,这边反馈核实下哦,20221203 19:56:55
一月5日后物流每个。更新去年下单，到现在没有到货,这边反馈催促下哦,20230119 09:35:44
用户进线咨询运单号还没发过来，告知分包发货，可关单,核实后短信,20221217 17:07:04
【买1得2】VIP会员1年+漫步者X3Plus迷你真无线蓝牙耳机安卓苹果手机通用想买这个，会员不是购买者使用可以吗？,这个您只有购买账号到账会员的不支持赠送的此套餐您相关亲人账号购买或者您购买礼品卡是否解决：,20230215 17:42:22
我这个什么时候能到？然后我这个会员怎么兑换？,会员是需要收到礼盒之后兑换的，已为用户申请退款,20230112 15:17:04
商城买了东西，不发货电商,已帮其催促,20230406 14:13:28
买耳机备注唐美丽粉丝可以送一年会员吗？,您可以进入主播主页的店铺查看的一进去就有换个套餐人家主播里面是送1年的原价158立减20元,20221118 22:00:26
耳机够买之后降价了,登记补偿差价表格,20230419 11:33:59
哪款耳机听故事效果好,这边无法给您推荐具体的耳机的，目前商城内耳机很多的，您可以在商城内搜索耳机更具您自己的需求进行选择的,20230408 22:11:08
未收到,解除管控后会尽快为您补发,20230313 12:52:09
催促发货,反馈钉钉群，有结果私信,20230310 13:37:53
给我发了么,解除管控后会尽快为您补发的,20230314 13:39:34
买了东西一周了也不发货退货可以吧,反馈下您的退款,20230105 21:22:07
这个所有智能音响都缺货吗我想下单来着页面显示,不好意思如果页面显示的是缺货的话建议先不要进行下单呢辛苦您留意下显示有货时在进行下单呢,20230126 10:26:48
我这几天都有去中通拿快递，就是没有你家的,催促,20221209 15:11:17
卡了好久了，一直没动静了,催促,20221231 21:28:25
音响换货已寄回电商和,已登记，用户已付费,20230326 13:38:07
音箱上的充电控的插头坏了要求换货电商,售后，（另一笔订单ID:202012054001476002547342412过保付费换新用户未支付故未登记表格）,20230326 10:55:55
商品退款,反馈处理，用户离线,20221130 21:29:00
订单退款是龟速吗知道我快递就不发顺丰了别人快递送货都可以提前送到，结果这退款速度，无话可说，寄回单号,这边尽快反馈商家核实一下是否解决：,20221207 18:24:00
一直不发货，是咋回事？,帮您询问下相关商家，1-3个工作日内告知您的呢,20230207 17:54:08
这种秒杀抢的活动物品什么时候发货？,正常情况下，实物商品将在付款后48小时左右发货，可能会存在延缓发货/配送、商品无货的情况，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，给您带来的不便敬请谅解，感谢您的理解!,20230131 20:48:41
我想申请退款,这边帮您登记一下退款哦1-3个工作日到账是否解决：,20221124 17:09:53
我有一个年卡买重复了麻烦帮我退一下是在我微信那个号里的昵称：lyn_d0,帮您反馈仓库拦截一下物流哦拦截成功帮您退款哈是否解决：,20221117 11:52:56
想买个镜面闹钟，不能选择颜色,您指的具体是哪个呢，辛苦截图,20230226 08:47:05
订单取消后如何继续购买,建议您这边重新购买哦目前订单已取消哦,20230416 13:03:41
在商场看中了一本书税收筹划一本通,这个是实体书,20230205 18:46:43
提供寄出单号：,登记处理,20230213 15:10:24
寄回单号：快递15号就签收了怎么会没收到呢,这边尽快反馈核实呢，有回复第一时间私信回复您,20230226 20:47:22
寄回单号：快递15号就签收了商家反馈未收到货，用户表示已经联系快递核实说是放在公司拉门的门口了,已再次反馈群,20230302 08:55:42
寄回单号：快递15号就签收了商家未收到,请您这边这边让送货的小哥联系下收件方,20230302 09:21:01
退货需要买家自己承担运费吗,非质量问题退货是需要买家承担,20230224 20:08:57
刚才的订单退款,202212164001081005323011629和202210284001081005112282279吗您反馈的数据线订单问题，已帮您操作订单原路退回提供一下页面的截图呢,20221223 17:00:01
寄回单号：已签收，申请退款,这边反馈商家核实一下呢用户离线,20230325 19:53:11
我要退货，流程是什么？枕头有很大气味电商:51上海晶融实业有限公司,私信,20230321 13:45:31
退货地址，单子上写的地址我能不能原路返回电商,已在喜马客服&外部供应商售后沟通群催促,20230321 18:49:53
我选的颈椎按摩仪，499元，还有10元优惠券，到手价是489元，准备下单怎么是499元啦😭,辛苦您在我的-钱包-优惠券进入截图下的,20230228 12:47:28
给我退订单我不想要了,需要反馈商家联系快递拦截，拦截成功之后为您处理退款。如果拦截失败您拒收退回之后处理退款,20221208 17:49:46
物流怎么回事,因为商品已经反馈之前已反馈商家联系快递拦截但是因为这个已经发货拦截可能会失败如果拦截失败辛苦您拒收,20221209 17:53:02
点击错了，不想买这款的，500积分已经扣除了,未支付成功，预计积分会在3小时内返还,20230127 11:18:05
在手机上找不到耳机的蓝牙名称,辛苦您撕掉充电使用，辛苦您充一会尝试下哦,20221224 14:59:05
未收到货，也不更新，什么原因,物流单号：9889625188986正在运输中,20221209 18:45:05
用户催促10月30的订单一直未发货辛苦处理谢谢，来自商家:武汉市亲子树文化传播有限公司）,催促,20221106 21:31:57
我的实物什么时候发货？能快一点吗？,这边为您在催促商家尽快为您寄出尝试一下呢~,20221122 08:47:19
我申请退货了，怎么没有快递员上门收货？,如没有这个选项是需要您自行选择物流寄回的,20221129 09:44:46
用户反馈已寄回签收了，辛苦看下是否可以退款,这边反馈商家催促处理哦,20221202 16:12:09
订单一直不发货,这边尽快催促下商家哦,20230212 22:24:32
、催促发货,这边核实之后给您短信哦,20230206 18:09:25
何时发货,催促发出,20230202 19:49:30
耳机可以维修吗,未核实到购买订单,20230220 15:41:51
喜马拉雅×keep能量礼盒这个有VIP会员吗,年卡是实体年卡呢是需要收到后激活的呢,20221222 16:22:35
用户下单了三件，要求发2生姜和4美白,反馈厂家,20221205 09:34:52
我这个产品质保期多久？,需要帮您再次和商家确认下具体质保期的时效呢后续私信告知您,20230413 10:35:47
又检查了一遍取快递记录，没有过这个包裹,商家回复您的这个快递驿站显示签收建议您在快递驿站取一下哦,20230122 17:06:52
我有一个订单一直没有收到货,这边尽快反馈商家核实是否解决：,20230121 14:05:48
未发货,催促,20221210 14:49:38
我的音箱怎么还不发货,为您反馈催促下哦,20221216 21:24:29
发货,催促，用户离线,20221214 18:53:26
催促发货,这边为您催促尽快发货,20221223 21:41:03
亲我想查快递到那里了,哪笔订单呢是否解决：,20221107 12:39:11
淘宝这种产品，有问题就直接重发一个。,很抱歉给您带来不便，由于春节期间供应商休假，无法为您进行换货，请您不要担心，辛苦您在2023年1月28日后联系人工客服为您处理换货事宜~,20230119 14:32:00
商城阿尼玛水鬼系列是正品吗不是正品是否一赔三？,核实后私信,20230301 14:23:43
用户咨询退款进度告知寄回商品签收后，您进线，圆通,您好，请您将商品寄回以下地址，并在寄件的时候在小纸条上附上您最新的收件地址，寄回商品签收后，会在3天内为您寄出新的商品~,20230417 22:07:19
退款,辛苦后续关注一下退款是否到账,20221209 13:27:44
商家:上海醇恩实业有限公司，麴醇堂韩国原瓶进口原味玛克丽米酒，啥时候可以发货,催促发货,20221206 13:40:02
发膜用完了去哪里买,在其他商城搜同款看看,20221204 14:38:25
带的长线是什么作用？,底部的这个小孔穿下,20230111 18:19:38
不能一下买2或3个吗？,显示是需要您按照您的需求如果需要购买两个就兑换下单两次,20230101 23:48:47
买了年卡套餐在哪里查看兑换码,您收到后按照实体卡上面的方法即可兑换,20230114 20:27:15
物流长时间未更新,催促,20221203 13:18:44
电商上午有反映一个积分换购的萌萌兔拍拍灯的问题刚收到短信了我原来的包装个扔掉了,咨询单编号：35367285回复核实商家回复,20230316 14:20:59
用户进线反馈多久可以有回复已告知1-3个工作日哦,这边为您反馈一下呢~辛苦麻烦您后续关注一下私信或者短信呢~,20221207 16:13:15
套餐这个音响可以语音控制吗,建议提供商品截图已离线,20230315 11:57:59
用户申请催促相关订单退款,反馈群,20230417 13:44:27
退款还没有到账，已经超过七天了,核实告知已退款建议在对应支付渠道账单查看下,20230110 16:34:36
怎么申请退款,订单页面页面申请一下仅退款哦是否解决：,20230105 09:39:49
申请退款电商,这边为您处理辛苦后续关注下退款是否到账呢,20230405 13:56:38
给我发白色吧突然觉得黑色丑电商所属供应商名称：武汉怡荨雨商贸有限公司,建议您申请退款重新购买的哦,20230405 13:52:36
请问我的包裹又查不到信息了,这边为您催促一下呢~辛苦麻烦您耐心等待了呢~,20221123 09:53:08
我购买的商品没有发货信息我就申请退款但是商家要我退货我都么收到商品怎么退呢？,JT3019814544315，填写单号,20221212 14:13:22
寄回单号：运费10元支付宝姓名，李晓娜,寄回的签收后之后提供支付宝账号和支付宝实名姓名,20221113 15:45:19
之前在平台购买的耳机充电仓充不进去电。已经排除线的问题,给您发私信了哦辛苦您寄回是否解决：,20221111 19:28:58
小黄鸭透明仓蓝牙耳机K25，你好耳机左面那个在仓里一直闪，应该是充不进去电，或是接触不好,建议使用酒精棉片擦拭下耳机底部金属片,20221127 14:35:19
我在喜马商城买了一个杯子，因为杯子太小不实用，我提出了退货退款的申请，今天打开一看，竟然写着“已取消退货退款的申请”，这是什么意思？,查看到您这边已签收的呢，还是要退款吗,20230424 17:18:10
号发的货到现在没有更新快递,73500911419819重发单号,20230429 15:39:33
物流4天未更新，催促物流商家:北京启蒙好业科技发展有限责任公司,反馈供应商群催促,20230428 16:38:08
好几个月未发货，处理退款,处理退款,20221111 08:15:01
商品一直未发货要求退款,退款失败喜点赔付,20221127 17:40:59
耳机是什么样的电商,是的和图片一样的呢,20230320 10:24:06
这个退货的快递，我到快递站，提示我河北有疫情，需要延后再快递出来,好的帮您登记是否解决：,20221214 16:26:47
京东对接未发货辛苦退款,反馈处理，用户离线,20221214 21:17:34
商品用了当时还以为送的呢一看是发错货了,您提供一下快递面单的照片，离线,20221228 15:16:28
发的粘毛器,这边反馈商家核实一下是否解决：,20221223 19:50:03
书籍未发货催促，,核实后短信,20221220 15:19:38
快点退款,帮您登记退款1-3个工作日到账是否解决：,20221130 13:33:00
实物不给退吗？我想买个投影仪，效果不好，提前问问,您可在商品页面查看下售后规则的哦，若是购买之后有任何问题及时进线联系我们处理的哦,20230430 10:43:09
有运费险吗？,是哪款商品呢,20221229 00:18:58
我平台上买的书怎么看到哪里了,2023-04-2910:02:45【上海市】快件已被【快递超市】的【上海奉贤海农公路1710号店】代收，请及时取件，如有疑问请联系（13817414474）。感谢使用中通快递，期待再次为您服务！麻烦您去取一下哦,20230430 13:05:22
商家:广州璐妤化妆品有限公司用户催促发货,已反馈供应商群,20230201 23:16:32
给我催一下货，您好,为您反馈商家催促下哦,20221215 12:42:30
用户催促长时间未更新，辛苦处理,催促，用户离线,20221214 22:52:48
订单20天不发货,核实物流正常运输中,20230111 12:23:06
这个耳机和会员的套餐地址在哪里填写,点击立即购买下单时会填写地址,20230426 17:12:01
耳机是什么牌子,中性品牌，工厂直销,20221126 12:42:28
号买的，怎么没有物流信息,催促,20221218 13:24:47
到底什么时候能处理完我的退款,发群,20221231 08:49:58
你们的雅诗兰黛是正品吗？,商城售卖的商品都是有质量保证的呢~,20221028 22:57:49
【买1得2】VIP会员1年+X2白色退款电商,辛苦您前往APP-我的-全部服务-订单中申请退款哦,20230403 20:23:05
手表兑换怎么兑换,兑换什么内容,20221204 13:34:48
物流两天没动静商家也是拖了两天才发货,反馈催促商家,20230311 16:34:22
商品退款,掉线是否解决：,20221107 10:00:35
【买1得2】喜马拉雅VIP年卡+认养一头牛200ml纯牛奶*12*2提+200g酸奶*12*2提,申请退款，已处理,20221107 10:31:31
上次反应的充电宝损坏怎么解决,商品发回换新，售后地址：书娴15302713990广东省深圳市宝安区福海街道重庆路194号科上美工业园D栋3楼寄回商品附一字条，写明姓名、电话、订单号，顾客的收货地址，以及寄回原因（备注：商品问题描述，退货），以便库房验收确认后办理后续工作。寄出后请保留快递底单，将寄出后的运单号反馈给在线客服，以便后续跟踪查询，感谢配合！运费麻烦顾客先行垫付，这边最高为顾客补贴10元（三通一达快递均可，库房拒收到付件）。寄出后提供：退回单号、运费支付截图、收款支付宝账号+姓名，登记退运费退回商品物流厂家签收,20230104 08:39:35
物流不更新可惜退款吗现在很多地方因为疫情物流瘫痪了。不知道等到什么时候又没法申请退款,这边帮您反馈商家拦截一下物流是否解决：,20221222 16:21:14
音箱用手机App点播，音响是有反应的，就是没法识别语音,如果禁麦键关闭的话是无法唤醒的◆请检查音箱是否已插电联网。◆查看是否点击音箱顶部麦克风禁麦键按钮。◆尝试靠近小雅用较标准的普通话放慢语速唤醒小雅。◆尝试恢复小雅出厂设置（长按禁麦键5秒）。,20230302 20:52:56
寄回单号：圆通快递：用户反馈耳机按昨天发的地址寄回去了，没有包装盒，也没留纸条。所属供应商名称（来自商家:武汉怡荨雨商贸有限公司）,联系商家,20230319 11:16:48
不需要包装盒吧？让我邮寄问题耳机去深圳，包装盒还需要吗？电商武汉怡荨雨商贸有限公司）,包装盒如果没有也是可以的呢,20230318 17:51:04
催促维修售后,催促发货表示已补运费辛苦尽快发出哦已催群里,20230414 11:13:00
核实好厂家给我回话,已查看之前客服告知核实后短信，已告知y耐心等待下,20230411 12:04:17
收到的这个是坏的,帮您反馈商家核实一下哦有回复给您短信告知哦是否解决：,20221211 10:45:15
是送一年会员么还有音箱,核实为keep礼盒告知有一年会员和音箱,20230111 13:41:37
现在拍是不是不发货了,如果页面有写的话辛苦您已页面为准哦是否解决：,20230111 13:46:24
你们什么时候能上白色蓝色耳机你不能让我买个粉色啊,实在不好意思，目前暂时缺货的呢，暂时没有收到具体时间的通知呢,20230225 10:39:40
换货寄回单号，,登记,20230111 16:54:00
用户称运费未收到，辛苦核实处理,这边为您催促一下呢,20230130 13:09:03
退一下我垫付的10元中通费,已发送供应商群,20230113 18:42:21
迪斯尼蓝牙耳机已收到换货可以退我10邮费了,核实前客服已有反馈供应商群告知耐心等待后续查看支付宝,20230116 21:22:29
退款,这边为您申请物流拦截呢如拦截失败辛苦麻烦您后续拒收一下呢,20230202 12:07:35
未收到,是正常运输的耐心等待物流更新,20221208 13:17:32
积分没有兑换成功，但扣了我的积分，能否继续支付么,辛苦您在我的--全部服务--订单页面看下是否有支付按钮的呢，若是有的话则可以支付，若是没有请您退出商城页面，在【喜马拉雅APP-我的-全部服务-订单】中待付款中可找到该订单并取消，积分预计会在3小时内退回您的账号~,20230303 16:08:43
我的货什么时候发？,核实订单用户,20230102 14:51:43
用户催促发货,催促,20230101 23:28:10
年前我有个灯要申请售后，你们说放假了，让年后找你们,这边为您反馈商家处理哦,20230130 21:41:38
我收到了这个短信，按照这个地址配送对吧,辛苦你那您在地址寄出呢,20230131 13:23:50
我的订单什么时候发货,这边为您反馈催促下哦,20230103 22:55:54
什么时侯可以发货，是施华洛世奇官方正品吗,一般48小时内发货，疫情原因是可能会延迟发货，是正品,20221228 10:03:52
能量礼盒里的年卡要等拿到东西才能用？,会员卡是需要收到货后激活的,20230118 11:29:57
退款,这边为您处理，辛苦后续关注一下退款是否到账呢,20221222 21:22:30
